License,2017,2018,2019,2020,2021,2022,2023
MIT License,51145,386863,655926,1215144,1479484,1555619,1579449
Apache License 2.0,17725,119671,186648,287533,312274,385372,392185
Other,16540,140521,226077,306816,272363,277438,244711
GNU General Public License v3.0,9506,73553,110054,173436,197905,228200,221608
"BSD 3-clause ""New"" or ""Revised"" License",4869,4516,0,0,0,0,0
GNU General Public License v2.0,3854,20854,25806,34936,34522,38830,38070
GNU Affero General Public License v3.0,2296,13046,19705,32390,40837,52256,58225
"BSD 2-clause ""Simplified"" License",1385,1223,0,0,0,0,0
GNU Lesser General Public License v3.0,1171,7513,10253,13847,13696,14884,14448
Mozilla Public License 2.0,993,5849,9686,14314,16808,21146,24304
ISC License,806,4229,5988,9395,9538,10151,9944
GNU Lesser General Public License v2.1,705,3336,3835,4959,5751,6848,7258
The Unlicense,704,6233,8093,14805,17131,18963,19186
Eclipse Public License 1.0,466,2049,1676,1752,1380,1378,1182
Creative Commons Zero v1.0 Universal,407,2596,4068,12748,16546,20611,21408
Do What The F*ck You Want To Public License,163,1064,1621,2445,2687,2976,2759
Creative Commons Attribution Share Alike 4.0,156,862,0,0,0,0,0
Creative Commons Attribution 4.0,151,1010,0,0,0,0,0
Artistic License 2.0,83,494,525,557,503,458,434
Open Software License 3.0,68,310,393,495,505,852,878
Boost Software License 1.0,60,500,701,919,1150,1324,1424
zlib License,49,356,572,794,952,1054,1154
Microsoft Public License,36,231,287,316,287,349,279
European Union Public License 1.1,32,167,158,150,142,137,100
Educational Community License v2.0,30,134,121,136,147,173,148
SIL Open Font License 1.1,22,151,251,381,463,588,562
Academic Free License v3.0,13,84,101,246,271,285,243
LaTeX Project Public License v1.3c,8,47,88,114,166,211,285
BSD 3-clause Clear License,5,9,0,0,0,0,0
Microsoft Reciprocal License,4,15,15,17,17,18,10
University of Illinois/NCSA Open Source License,2,7,8,36,46,50,79
PostgreSQL License,2,41,47,58,65,80,107
"BSD 3-Clause ""New"" or ""Revised"" License",0,26652,35858,53764,58610,69416,75659
NOASSERTION,0,20924,0,0,0,0,0
"BSD 2-Clause ""Simplified"" License",0,7201,9614,12529,13693,15298,15073
Eclipse Public License 2.0,0,684,1546,2453,2762,2981,2960
Creative Commons Attribution 4.0 International,0,652,2908,5119,6869,40554,32558
Creative Commons Attribution Share Alike 4.0 International,0,638,1987,3147,3333,3566,3926
BSD 3-Clause Clear License,0,70,109,167,196,519,967
European Union Public License 1.2,0,38,266,601,809,1187,1442
Universal Permissive License v1.0,0,1,70,166,245,752,769
BSD Zero Clause License,0,0,18,2660,4455,4641,5541
"BSD 4-Clause ""Original"" or ""Old"" License",0,0,4,70,113,218,270
CeCILL Free Software License Agreement v2.1,0,0,1,5,7,26,30
ODC Open Database License v1.0,0,0,0,13,22,41,0
MIT No Attribution,0,0,0,0,540,2542,3958
Vim License,0,0,0,0,1,33,107
"Mulan Permissive Software License, Version 2",0,0,0,0,0,35,198
Open Data Commons Open Database License v1.0,0,0,0,0,0,25,55
GNU Free Documentation License v1.3,0,0,0,0,0,1,34
CERN Open Hardware Licence Version 2 - Strongly Reciprocal,0,0,0,0,0,1,32
CERN Open Hardware Licence Version 2 - Permissive,0,0,0,0,0,1,26
CERN Open Hardware Licence Version 2 - Weakly Reciprocal,0,0,0,0,0,0,26
